OutcomeType;AnimalType;SexuponOutcome;Sex;Intact;AgeNumber;AgeType;AgeTypeNormalized;AgeInYears;Breed 1;Breed 2;Mix;Primary Color;ColorAddition1;Secondary Color;ColorAddition2
Euthanasia;Dog;Neutered Male;Male;Non-intact;7;years;year;7;Pit Bull ;;TRUE;White;;Gold;
Adoption;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Jack Russell Terrier;Dachshund;FALSE;White;;Brown;Brindle
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Orange;Tabby;White;
Adoption;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Labrador Retriever ;;TRUE;Black;;;
Adoption;Dog;Spayed Female;Female;Non-intact;4;years;year;4;Miniature Pinscher;Chihuahua Shorthair;FALSE;Tricolor;;;
Transfer;Cat;Unknown;Unknown;Unknown;2;years;year;2;Domestic Shorthair ;;TRUE;Black;;White;
Adoption;Cat;Spayed Female;Female;Non-intact;1;year;year;1;Domestic Shorthair ;;TRUE;Torbie;;;
Adoption;Dog;Spayed Female;Female;Non-intact;4;years;year;4;Boxer;Pit Bull;FALSE;Black;Brindle;White;
Adoption;Dog;Neutered Male;Male;Non-intact;7;years;year;7;Labrador Retriever ;;TRUE;Buff;;;
Transfer;Cat;Intact Female;Female;Intact;1;month;month;0.083333333;Domestic Shorthair ;;TRUE;Calico;;;
Euthanasia;Cat;Spayed Female;Female;Non-intact;10;years;year;10;Domestic Shorthair ;;TRUE;Cream;Tabby;;
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Pit Bull ;;TRUE;Blue;;White;
Adoption;Cat;Neutered Male;Male;Non-intact;3;months;month;0.25;Domestic Shorthair ;;TRUE;Black;;White;
Died;Cat;Intact Female;Female;Intact;1;month;month;0.083333333;Domestic Shorthair ;;TRUE;Calico;;;
Transfer;Cat;Neutered Male;Male;Non-intact;6;years;year;6;Domestic Shorthair ;;TRUE;Brown;Tabby;White;
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;German Shepherd ;;TRUE;Yellow;;;
Transfer;Dog;Unknown;Unknown;Unknown;1;month;month;0.083333333;Maltese;Miniature Poodle;FALSE;White;;;
Died;Cat;Unknown;Unknown;Unknown;1;year;year;1;Domestic Shorthair ;;TRUE;White;;;
Transfer;Cat;Intact Male;Male;Intact;2;weeks;week;0.038461538;Domestic Shorthair ;;TRUE;Black;;;
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Orange;Tabby;;
Adoption;Dog;Neutered Male;Male;Non-intact;8;months;month;0.666666667;Chihuahua Shorthair;Rat Terrier;FALSE;Chocolate;;White;
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Torbie;;;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Cairn Terrier;;FALSE;Yellow;;White;
Transfer;Cat;Intact Male;Male;Intact;1;month;month;0.083333333;Tonkinese ;;TRUE;Seal Point;;;
Adoption;Dog;Spayed Female;Female;Non-intact;8;years;year;8;Miniature Pinscher;Chihuahua Shorthair;FALSE;Brown;;;
Transfer;Dog;Neutered Male;Male;Non-intact;8;years;year;8;Chihuahua Shorthair ;;TRUE;Tan;;;
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Brown;Tabby;White;
Transfer;Dog;Intact Male;Male;Intact;1;year;year;1;Boxer;Black Mouth Cur;FALSE;Brown;;White;
Adoption;Cat;Spayed Female;Female;Non-intact;3;months;month;0.25;Domestic Medium Hair ;;TRUE;Torbie;;White;
Adoption;Dog;Spayed Female;Female;Non-intact;8;years;year;8;Australian Kelpie ;;TRUE;Black;;Tan;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Queensland Heeler ;;TRUE;Black;;Black;
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Longhair ;;TRUE;Black;;White;
Transfer;Dog;Intact Female;Female;Intact;2;months;month;0.166666667;Labrador Retriever ;;TRUE;Black;;White;
Adoption;Dog;Spayed Female;Female;Non-intact;5;years;year;5;Dachshund;;FALSE;Red;;;
Transfer;Cat;Intact Female;Female;Intact;12;years;year;12;Domestic Shorthair ;;TRUE;Calico;;;
Adoption;Cat;Intact Female;Female;Intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Tortie;;Blue;Cream
Return_to_owner;Dog;Neutered Male;Male;Non-intact;12;years;year;12;Chihuahua Shorthair ;;TRUE;Tricolor;;;
Transfer;Dog;Spayed Female;Female;Non-intact;8;years;year;8;Pit Bull;Bull Terrier;FALSE;White;;;
Adoption;Dog;Neutered Male;Male;Non-intact;3;months;month;0.25;Labrador Retriever ;;TRUE;Black;;White;
Adoption;Cat;Spayed Female;Female;Non-intact;1;year;year;1;Domestic Shorthair ;;TRUE;Black;;;
Adoption;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Black Mouth Cur ;;TRUE;Tan;;;
Adoption;Dog;Spayed Female;Female;Non-intact;8;months;month;0.666666667;Black Mouth Cur ;;TRUE;Brown;;Black;
Transfer;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Plott Hound ;;TRUE;Brown;Brindle;White;
Transfer;Cat;Spayed Female;Female;Non-intact;2;years;year;2;Domestic Shorthair ;;TRUE;Brown;Tabby;White;
Adoption;Dog;Spayed Female;Female;Non-intact;5;months;month;0.416666667;Rat Terrier ;;TRUE;White;;Black;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Blue Lacy ;;TRUE;Red;;White;
Adoption;Cat;Intact Female;Female;Intact;1;month;month;0.083333333;Domestic Medium Hair ;;TRUE;Calico;;;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Flat Coat Retriever ;;TRUE;Black;;;
Transfer;Dog;Intact Female;Female;Intact;6;years;year;6;Miniature Schnauzer ;;TRUE;Gray;;White;
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Black;;;
Adoption;Cat;Neutered Male;Male;Non-intact;4;years;year;4;Domestic Shorthair ;;TRUE;Black;;White;
Transfer;Dog;Neutered Male;Male;Non-intact;6;months;month;0.5;Miniature Schnauzer;Miniature Poodle;FALSE;Gray;;Tan;
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Black;;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;7;years;year;7;Labrador Retriever ;;TRUE;Black;;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;11;years;year;11;Parson Russell Terrier;;FALSE;White;;Tricolor;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;1;year;year;1;German Shepherd ;;TRUE;Black;;Tan;
Euthanasia;Dog;Neutered Male;Male;Non-intact;4;years;year;4;Pit Bull;Boxer;FALSE;Brown;;White;
Adoption;Cat;Neutered Male;Male;Non-intact;6;months;month;0.5;Domestic Shorthair ;;TRUE;Brown;Tabby;White;
Transfer;Dog;Neutered Male;Male;Non-intact;9;months;month;0.75;Labrador Retriever ;;TRUE;Buff;;;
Transfer;Cat;Intact Female;Female;Intact;7;months;month;0.583333333;Domestic Shorthair ;;TRUE;Tortie;;;
Adoption;Cat;Spayed Female;Female;Non-intact;3;months;month;0.25;Domestic Shorthair ;;TRUE;Black;;White;
Transfer;Cat;Unknown;Unknown;Unknown;1;day;day;0.002737851;Domestic Shorthair ;;TRUE;Black;;;
Adoption;Dog;Neutered Male;Male;Non-intact;11;months;month;0.916666667;Labrador Retriever ;;TRUE;Black;;White;
Transfer;Dog;Intact Female;Female;Intact;10;years;year;10;Dachshund ;;TRUE;Red;;;
Transfer;Dog;Intact Male;Male;Intact;1;month;month;0.083333333;Labrador Retriever;Plott Hound;FALSE;Brown;;White;
Transfer;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Black;;;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Dachshund ;;TRUE;White;;Brown;
Adoption;Cat;Neutered Male;Male;Non-intact;6;months;month;0.5;Domestic Shorthair ;;TRUE;Brown;Tabby;White;
Adoption;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Australian Cattle Dog ;;TRUE;Chocolate;;White;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Siberian Husky;Pit Bull;FALSE;Tan;;White;
Transfer;Cat;Intact Female;Female;Intact;1;month;month;0.083333333;Domestic Medium Hair ;;TRUE;Black;;;
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Cream;Tabby;;
Transfer;Cat;Spayed Female;Female;Non-intact;1;year;year;1;Domestic Shorthair ;;TRUE;Blue;Tabby;White;
Transfer;Dog;Intact Female;Female;Intact;4;weeks;week;0.076923077;Boston Terrier;Chihuahua Shorthair;FALSE;White;;Buff;
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;German Shepherd ;;TRUE;Black;;Tan;
Return_to_owner;Cat;Neutered Male;Male;Non-intact;11;months;month;0.916666667;Domestic Shorthair ;;TRUE;Black;;White;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;12;years;year;12;Labrador Retriever ;;TRUE;Black;;;
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Himalayan ;;TRUE;Tortie;Point;;
Transfer;Cat;Neutered Male;Male;Non-intact;1;year;year;1;Domestic Shorthair ;;TRUE;Black;;;
Euthanasia;Cat;Spayed Female;Female;Non-intact;14;years;year;14;Domestic Longhair ;;TRUE;Torbie;;;
Transfer;Cat;Intact Female;Female;Intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Black;;White;
Transfer;Cat;Unknown;Unknown;Unknown;2;weeks;week;0.038461538;Domestic Shorthair ;;TRUE;Black;;White;
Transfer;Cat;Intact Female;Female;Intact;7;years;year;7;Domestic Medium Hair ;;TRUE;Blue;Tabby;White;
Adoption;Dog;Spayed Female;Female;Non-intact;9;years;year;9;Jack Russell Terrier ;;TRUE;White;;Brown;
Adoption;Cat;Neutered Male;Male;Non-intact;3;years;year;3;Domestic Shorthair ;;TRUE;White;;Black;
Transfer;Cat;Neutered Male;Male;Non-intact;4;years;year;4;Domestic Shorthair ;;TRUE;Orange;Tabby;White;
Transfer;Dog;Intact Male;Male;Intact;4;months;month;0.333333333;Dachshund;;FALSE;Chocolate;;Tan;
Transfer;Cat;Intact Male;Male;Intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Black;;White;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Yorkshire Terrier ;;TRUE;Black;;Cream;
Transfer;Cat;Spayed Female;Female;Non-intact;2;years;year;2;Siamese ;;TRUE;Seal Point;;;
Adoption;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Chihuahua Shorthair ;;TRUE;Brown;;White;
Transfer;Dog;Neutered Male;Male;Non-intact;8;years;year;8;Chihuahua Shorthair ;;TRUE;Black;;Tan;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Labrador Retriever ;;TRUE;Black;;;
Adoption;Cat;Spayed Female;Female;Non-intact;6;months;month;0.5;Domestic Shorthair ;;TRUE;Tortie;;;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Border Collie ;;TRUE;Black;;White;
Euthanasia;Cat;Intact Female;Female;Intact;2;years;year;2;Domestic Shorthair;;FALSE;Calico;;White;
Transfer;Dog;Intact Female;Female;Intact;5;years;year;5;Chihuahua Longhair;Cardigan Welsh Corgi;FALSE;Black;;Tan;
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Adoption;Dog;Neutered Male;Male;Non-intact;10;months;month;0.833333333;Chihuahua Shorthair ;;TRUE;Brown;;;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;5;years;year;5;German Shepherd ;;TRUE;White;;;
Adoption;Dog;Neutered Male;Male;Non-intact;6;years;year;6;German Shepherd;Chinese Sharpei;FALSE;Blue;Merle;;
Transfer;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Orange;Tabby;;
Transfer;Dog;Neutered Male;Male;Non-intact;4;years;year;4;Chihuahua Longhair ;;TRUE;Tricolor;;;
Transfer;Cat;Intact Female;Female;Intact;1;year;year;1;Domestic Longhair ;;TRUE;Brown;Tabby;White;
Adoption;Dog;Neutered Male;Male;Non-intact;6;months;month;0.5;Cardigan Welsh Corgi ;;TRUE;White;;Red;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;10;years;year;10;Pit Bull ;;TRUE;Red;;White;
Transfer;Dog;Intact Male;Male;Intact;2;months;month;0.166666667;Bull Terrier ;;TRUE;Tan;;White;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Black Mouth Cur ;;TRUE;Buff;;;
Adoption;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Labrador Retriever ;;TRUE;Black;;;
Return_to_owner;Cat;Spayed Female;Female;Non-intact;10;years;year;10;Domestic Longhair ;;TRUE;Blue;Tabby;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Labrador Retriever;German Shepherd;FALSE;Chocolate;;Tan;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;11;years;year;11;Pit Bull;;FALSE;Brown;Brindle;White;
Adoption;Cat;Neutered Male;Male;Non-intact;4;years;year;4;Domestic Shorthair ;;TRUE;Blue;Tabby;;
Transfer;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Pit Bull ;;TRUE;Blue;;;
Transfer;Cat;Intact Female;Female;Intact;1;year;year;1;Domestic Shorthair ;;TRUE;Blue;;White;
Adoption;Dog;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Chesa Bay Retr ;;TRUE;Brown;;Black;
Transfer;Cat;Unknown;Unknown;Unknown;4;weeks;week;0.076923077;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Chihuahua Shorthair ;;TRUE;Tan;;;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Dachshund ;;TRUE;Tricolor;;Black;
Transfer;Cat;Intact Male;Male;Intact;2;years;year;2;Domestic Shorthair ;;TRUE;White;;Blue;
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;German Shepherd;Labrador Retriever;FALSE;Black;;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Pit Bull ;;TRUE;White;;Blue;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Chihuahua Shorthair ;;TRUE;Chocolate;;Tan;
Transfer;Cat;Spayed Female;Female;Non-intact;20;years;year;20;Domestic Medium Hair ;;TRUE;Calico;;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;7;years;year;7;Australian Kelpie ;;TRUE;Brown;;White;
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Medium Hair ;;TRUE;Calico;;;
Transfer;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Pomeranian ;;TRUE;Red;;;
Adoption;Dog;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Labrador Retriever ;;TRUE;Blue;;Tan;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;17;years;year;17;Pit Bull ;;TRUE;Brown;Brindle;;
Transfer;Dog;Neutered Male;Male;Non-intact;1;year;year;1;American Pit Bull Terrier ;;TRUE;Brown;Brindle;;
Transfer;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Labrador Retriever ;;TRUE;Chocolate;;;
Transfer;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Border Collie ;;TRUE;Chocolate;;White;
Euthanasia;Dog;Spayed Female;Female;Non-intact;12;years;year;12;Pit Bull ;;TRUE;Brown;;White;
Transfer;Cat;Intact Male;Male;Intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Black;;;
Transfer;Cat;Intact Female;Female;Intact;4;months;month;0.333333333;Domestic Shorthair ;;TRUE;Blue;;;
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Adoption;Dog;Spayed Female;Female;Non-intact;5;years;year;5;Labrador Retriever ;;TRUE;Black;;White;
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair;;FALSE;Orange;Tabby;;
Return_to_owner;Dog;Intact Male;Male;Intact;5;years;year;5;Alaskan Husky;Australian Shepherd;FALSE;Gray;;White;
Transfer;Cat;Unknown;Unknown;Unknown;1;weeks;week;0.019230769;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Brown;Tabby;White;
Adoption;Cat;Spayed Female;Female;Non-intact;3;months;month;0.25;Domestic Shorthair ;;TRUE;Calico;;;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;8;months;month;0.666666667;Siberian Husky ;;TRUE;Red;;White;
Transfer;Dog;Intact Male;Male;Intact;1;year;year;1;Dachshund ;;TRUE;Red;;White;
Transfer;Cat;Intact Female;Female;Intact;2;years;year;2;Domestic Shorthair ;;TRUE;Black;;White;
Return_to_owner;Cat;Spayed Female;Female;Non-intact;3;months;month;0.25;Domestic Shorthair ;;TRUE;Calico;;;
Transfer;Dog;Intact Male;Male;Intact;8;months;month;0.666666667;Lhasa Apso ;;TRUE;Cream;;Tan;
Adoption;Dog;Neutered Male;Male;Non-intact;11;months;month;0.916666667;Siberian Husky;German Shepherd;FALSE;Buff;;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Chow Chow;Pit Bull;FALSE;Brown;Brindle;;
Euthanasia;Cat;Unknown;Unknown;Unknown;2;years;year;2;Domestic Shorthair ;;TRUE;Gray;;;
Adoption;Dog;Spayed Female;Female;Non-intact;4;years;year;4;Dachshund ;;TRUE;Red;;;
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Snowshoe ;;TRUE;Blue;Point;;
Adoption;Dog;Spayed Female;Female;Non-intact;6;months;month;0.5;Labrador Retriever ;;TRUE;Tan;;White;
Adoption;Dog;Neutered Male;Male;Non-intact;4;months;month;0.333333333;Bluetick Hound ;;TRUE;Blue;Tick;Tan;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;6;years;year;6;American Staffordshire Terrier ;;TRUE;Blue;;White;
Euthanasia;Dog;Intact Female;Female;Intact;2;years;year;2;Chihuahua Shorthair ;;TRUE;Black;;;
Transfer;Dog;Intact Female;Female;Intact;4;years;year;4;Boxer;;FALSE;Brown;;White;
Transfer;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Chihuahua Shorthair ;;TRUE;White;;Chocolate;
Adoption;Cat;Spayed Female;Female;Non-intact;3;months;month;0.25;Domestic Shorthair ;;TRUE;Calico;;;
Transfer;Cat;Intact Female;Female;Intact;1;year;year;1;Domestic Shorthair ;;TRUE;Tortie;;;
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Chihuahua Shorthair ;;TRUE;Tan;;White;
Transfer;Cat;Spayed Female;Female;Non-intact;1;year;year;1;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Adoption;Cat;Intact Female;Female;Intact;1;month;month;0.083333333;Domestic Shorthair ;;TRUE;Cream;Tabby;;
Transfer;Cat;Unknown;Unknown;Unknown;2;years;year;2;Domestic Shorthair ;;TRUE;Orange;Tabby;;
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Longhair ;;TRUE;Black;;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;10;years;year;10;Beagle ;;TRUE;Tan;;White;
Adoption;Cat;Spayed Female;Female;Non-intact;6;months;month;0.5;Domestic Medium Hair ;;TRUE;Tortie;;;
Transfer;Dog;Intact Female;Female;Intact;2;months;month;0.166666667;Chihuahua Shorthair ;;TRUE;Cream;;White;
Transfer;Cat;Intact Female;Female;Intact;1;month;month;0.083333333;Domestic Shorthair ;;TRUE;Tortie;;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Chihuahua Shorthair ;;TRUE;Tricolor;;;
Return_to_owner;Cat;Neutered Male;Male;Non-intact;4;years;year;4;Manx ;;TRUE;Blue;;;
Adoption;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Whippet ;;TRUE;Brown;Brindle;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;9;years;year;9;Beagle ;;TRUE;Buff;;Yellow;
Transfer;Cat;Spayed Female;Female;Non-intact;3;months;month;0.25;Domestic Medium Hair ;;TRUE;Brown;Tabby;;
Adoption;Dog;Spayed Female;Female;Non-intact;6;years;year;6;Labrador Retriever;Chinese Sharpei;FALSE;Tan;;;
Transfer;Cat;Neutered Male;Male;Non-intact;1;year;year;1;Snowshoe ;;TRUE;Blue;Point;;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;7;years;year;7;Pit Bull ;;TRUE;White;;Tan;
Adoption;Cat;Spayed Female;Female;Non-intact;2;years;year;2;Domestic Shorthair ;;TRUE;Brown;Tabby;White;
Adoption;Dog;Spayed Female;Female;Non-intact;5;months;month;0.416666667;Pembroke Welsh Corgi;German Shepherd;FALSE;Tricolor;;;
Adoption;Dog;Spayed Female;Female;Non-intact;10;months;month;0.833333333;Chihuahua Shorthair ;;TRUE;Brown;;;
Transfer;Dog;Intact Female;Female;Intact;1;year;year;1;Miniature Poodle ;;TRUE;Apricot;;;
Euthanasia;Dog;Intact Male;Male;Intact;12;years;year;12;Cocker Spaniel;;FALSE;Black;;;
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Labrador Retriever;Australian Shepherd;FALSE;White;;Brown;Brindle
Return_to_owner;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Pit Bull ;;TRUE;Tan;;White;
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Dachshund;Rat Terrier;FALSE;White;;Chocolate;
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Blue;Tabby;White;
Transfer;Cat;Neutered Male;Male;Non-intact;2;years;year;2;Domestic Shorthair ;;TRUE;Black;;White;
Adoption;Cat;Spayed Female;Female;Non-intact;4;months;month;0.333333333;Domestic Shorthair ;;TRUE;Calico;;;
Transfer;Dog;Intact Male;Male;Intact;2;months;month;0.166666667;Labrador Retriever;Pointer;FALSE;White;;Black;
Transfer;Cat;Intact Female;Female;Intact;3;weeks;week;0.057692308;Domestic Shorthair ;;TRUE;Blue;;;
Transfer;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Orange;Tabby;White;
Euthanasia;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Labrador Retriever;German Shepherd;FALSE;Black;;White;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Pit Bull ;;TRUE;Brown;;White;
Adoption;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Rottweiler;Australian Cattle Dog;FALSE;Brown;;Black;
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;American Bulldog ;;TRUE;Blue;;White;
Adoption;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Pit Bull ;;TRUE;White;;Brown;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Golden Retriever ;;TRUE;Gold;;;
Adoption;Cat;Intact Female;Female;Intact;10;months;month;0.833333333;Domestic Shorthair ;;TRUE;Calico;;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;10;years;year;10;German Shorthair Pointer ;;TRUE;White;;Chocolate;
Transfer;Cat;Unknown;Unknown;Unknown;2;days;day;0.005475702;Domestic Shorthair ;;TRUE;Black;;White;
Euthanasia;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Pit Bull ;;TRUE;Chocolate;;White;
Transfer;Dog;Intact Female;Female;Intact;2;months;month;0.166666667;Labrador Retriever;Pointer;FALSE;Black;;;
Euthanasia;Dog;Neutered Male;Male;Non-intact;9;years;year;9;Pit Bull;;FALSE;Gold;;White;
Adoption;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Australian Shepherd ;;TRUE;Brown;;White;
Euthanasia;Dog;Intact Female;Female;Intact;2;years;year;2;Pit Bull ;;TRUE;Brown;Brindle;;
Transfer;Cat;Intact Male;Male;Intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Brown;Tabby;White;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Labrador Retriever ;;TRUE;Yellow;;;
Transfer;Cat;Intact Male;Male;Intact;2;years;year;2;Domestic Shorthair ;;TRUE;Black;;White;
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Cream;Tabby;White;
Transfer;Cat;Intact Female;Female;Intact;4;months;month;0.333333333;Domestic Shorthair ;;TRUE;Blue;;;
Euthanasia;Dog;Intact Male;Male;Intact;2;years;year;2;Pit Bull;Boxer;FALSE;Black;;White;
Transfer;Cat;Intact Female;Female;Intact;1;year;year;1;Domestic Shorthair ;;TRUE;Torbie;;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Dachshund ;;TRUE;Black;;Brown;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Australian Shepherd ;;TRUE;Black;;Tan;
Euthanasia;Dog;Spayed Female;Female;Non-intact;13;years;year;13;Chihuahua Shorthair ;;TRUE;Brown;;;
Transfer;Dog;Intact Male;Male;Intact;4;months;month;0.333333333;Pit Bull ;;TRUE;Brown;Brindle;White;
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Rat Terrier;Chihuahua Shorthair;FALSE;Black;;White;
Transfer;Dog;Intact Female;Female;Intact;3;years;year;3;Australian Shepherd;Rottweiler;FALSE;Brown;;;
Transfer;Cat;Intact Female;Female;Intact;4;years;year;4;Domestic Shorthair ;;TRUE;Tortie;;;
Adoption;Cat;Neutered Male;Male;Non-intact;3;months;month;0.25;Domestic Shorthair ;;TRUE;Brown;Tabby;White;
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Staffordshire ;;TRUE;Blue;;White;
Adoption;Dog;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Labrador Retriever ;;TRUE;Red;;;
Transfer;Dog;Intact Male;Male;Intact;2;years;year;2;Manchester Terrier;Beagle;FALSE;Black;;Tan;
Adoption;Cat;Neutered Male;Male;Non-intact;3;months;month;0.25;Domestic Shorthair ;;TRUE;Blue;Tabby;White;
Euthanasia;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Catahoula ;;TRUE;White;;Brown;
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Chihuahua Shorthair ;;TRUE;Tan;;;
Adoption;Cat;Intact Male;Male;Intact;1;month;month;0.083333333;Domestic Shorthair ;;TRUE;Blue;Tabby;;
Adoption;Cat;Spayed Female;Female;Non-intact;6;months;month;0.5;Domestic Medium Hair ;;TRUE;Tortie;;Black;Smoke
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Labrador Retriever;;FALSE;Black;;;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;9;months;month;0.75;Pit Bull ;;TRUE;Blue;;White;
Euthanasia;Cat;Neutered Male;Male;Non-intact;3;years;year;3;Domestic Shorthair ;;TRUE;Brown;Tabby;White;
